2025-07-11 15:07:45,937 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117894.0, Volume: 174.03527, Closed: False
2025-07-11 15:07:48,429 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117894.0, Volume: 174.39121, Closed: False
2025-07-11 15:07:49,936 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117880.12, Volume: 174.77067, Closed: False
2025-07-11 15:07:51,940 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117880.01, Volume: 175.4638, Closed: False
2025-07-11 15:07:53,935 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117880.01, Volume: 175.49083, Closed: False
2025-07-11 15:07:56,430 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117880.01, Volume: 175.51655, Closed: False
2025-07-11 15:07:57,937 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117880.01, Volume: 175.68349, Closed: False
2025-07-11 15:07:59,943 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117880.0, Volume: 175.71576, Closed: False
2025-07-11 15:08:01,956 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117870.3, Volume: 176.34212, Closed: False
2025-07-11 15:08:03,938 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117870.29, Volume: 176.45549, Closed: False
2025-07-11 15:08:05,946 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117860.01, Volume: 177.15042, Closed: False
2025-07-11 15:08:07,935 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117860.01, Volume: 177.18066, Closed: False
2025-07-11 15:08:09,940 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117850.0, Volume: 177.7673, Closed: False
2025-07-11 15:08:11,938 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117850.01, Volume: 178.12442, Closed: False
2025-07-11 15:08:13,943 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117833.76, Volume: 183.60319, Closed: False
2025-07-11 15:08:15,937 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117833.76, Volume: 183.92464, Closed: False
2025-07-11 15:08:17,938 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117833.76, Volume: 185.19948, Closed: False
2025-07-11 15:08:19,938 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117833.77, Volume: 185.22605, Closed: False
2025-07-11 15:08:21,942 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117811.02, Volume: 186.9838, Closed: False
2025-07-11 15:08:23,939 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117807.35, Volume: 187.55253, Closed: False
2025-07-11 15:08:25,945 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117807.35, Volume: 187.60611, Closed: False
2025-07-11 15:08:27,944 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117807.35, Volume: 187.62174, Closed: False
2025-07-11 15:08:29,947 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117807.34, Volume: 187.69585, Closed: False
2025-07-11 15:08:31,940 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117807.34, Volume: 187.90884, Closed: False
2025-07-11 15:08:33,936 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117807.35, Volume: 187.91729, Closed: False
2025-07-11 15:08:35,938 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117807.34, Volume: 187.9462, Closed: False
2025-07-11 15:08:37,938 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117800.0, Volume: 188.78144, Closed: False
2025-07-11 15:08:39,943 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117807.34, Volume: 192.29674, Closed: False
2025-07-11 15:08:41,954 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117807.35, Volume: 192.32427, Closed: False
2025-07-11 15:08:44,459 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117800.66, Volume: 193.60249, Closed: False
2025-07-11 15:08:45,937 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117800.66, Volume: 193.80321, Closed: False
2025-07-11 15:08:47,936 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117800.65, Volume: 193.84906, Closed: False
2025-07-11 15:08:49,937 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117800.66, Volume: 193.89304, Closed: False
2025-07-11 15:08:52,940 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117800.65, Volume: 194.07305, Closed: False
2025-07-11 15:08:53,946 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117800.66, Volume: 194.09375, Closed: False
2025-07-11 15:08:55,940 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117791.65, Volume: 194.17437, Closed: False
2025-07-11 15:08:58,448 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117791.66, Volume: 194.21754, Closed: False
2025-07-11 15:08:59,939 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117786.24, Volume: 195.47067, Closed: False
2025-07-11 15:09:01,950 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117780.01, Volume: 195.82114, Closed: False
2025-07-11 15:09:03,937 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117780.0, Volume: 195.87877, Closed: False
2025-07-11 15:09:05,949 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117780.0, Volume: 195.98686, Closed: False
2025-07-11 15:09:07,942 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117780.01, Volume: 195.99017, Closed: False
2025-07-11 15:09:09,961 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117780.0, Volume: 196.00288, Closed: False
2025-07-11 15:09:11,935 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117780.01, Volume: 196.0428, Closed: False
2025-07-11 15:09:13,943 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117780.0, Volume: 196.10882, Closed: False
2025-07-11 15:09:15,940 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117780.0, Volume: 196.15767, Closed: False
2025-07-11 15:09:17,938 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117780.0, Volume: 196.24618, Closed: False
2025-07-11 15:09:19,938 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 118031.23, Low: 117745.84, Close: 117780.0, Volume: 196.32292, Closed: False
